"CNumber","Inhibitor","Brutto","MW","Action","Reference","Reference 2","PMID2","Patent","Commercial Vendor","CAS","InChI","InChI Key","PubChem CID","SMILES","Alt Name"
"177","(5Z)-7-Oxozeaenol","C19H22O7","362.37","TAK1","Ninomiya-Tsuji (2003)  J.Biol.Chem. 278 18485","Windheim et al (2007) Biochem.J. 404 179","17348859","","Tocris","66018-38-0","InChI=1S/C19H22O7/c1-11-5-3-7-14(20)18(23)15(21)8-4-6-12-9-13(25-2)10-16 (22)17(12)19(24)26-11/h3-4,6-7,9-11,15,18,21-23H,5,8H2,1-2H3","NEQZWEXWOFPKOT-UHFFFAOYSA-N","53442201","CC1CC=CC(=O)C(C(CC=CC2=CC(=CC(=C2C(=O)O1)O)OC)O)O","LL-Z-1640-2"
"2","1 NA-PP1 (PP1 Analog)","C19H19N5","317.4","Src","Bishop A. C. (2000) Nature 407 395","Bishop A.C. (1999) J. Am. Chem. Soc. 121 627","","WO2003082341","Merck (Calbiochem)","221243-82-9","InChI=1S/C19H19N5/c1-19(2,3)24-18-15(17(20)21-11-22-18)16(23-24)14-10-6-8-12-7-4-5-9-13(12)14/h4-11H,1-3H3,(H2,20,21,22)","XSHQBIXMLULFEV-UHFFFAOYSA-N","4877","CC(C)(C)N1C2=C(C(=N1)C3=CC=CC4=CC=CC=C43)C(=NC=N2)N","1-NA-PP1, CHEBI:52310, 1-Na PP1"
"3","1 NM-PP1 (PP1 Analog II)","C20H21N5","331.4","Src","Ira G.  (2004) Nature 431 1011 ","Papa F.R. (2003) Science 302 1533","14564015","WO2000042042","Merck (Calbiochem)","221244-14-0","InChI=1S/C20H21N5/c1-20(2,3)25-19-17(18(21)22-12-23-19)16(24-25)11-14-9-6-8-13-7-4-5-10-15(13)14/h4-10,12H,11H2,1-3H3,(H2,21,22,23)","GDQXJQSQYMMKRA-UHFFFAOYSA-N","5154691","CC(C)(C)N1C2=C(C(=N1)CC3=CC=CC4=CC=CC=C43)C(=NC=N2)N","PP1 Analog II, 1NM-PP1, Mutant Kinases Inhibitor II, 1-NM-PP1, CHEBI:52309"
"293","2-Aminopurine","C5H5N5","135.1267","PKR","","","","","Sigma","452-06-2","InChI=1S/C5H5N5/c6-5-7-1-3-4(10-5)9-2-8-3/h1-2H,(H3,6,7,8,9,10)","MWBWWFOAEOYUST-UHFFFAOYSA-N","9955","C1=C2C(=NC(=N1)N)N=CN2","2-AP"
"5","A-443654","C24H23ON5x2HCl","470.39","Akt1","Shi Y. (2005) Neoplasia 7 992-1000.","","","WO2007106884","AdooQ Bioscience","552325-16-3","InChI=1S/C24H23N5O/c1-15-22-10-16(6-7-24(22)29-28-15)17-9-20(13-26-11-17)30-14-19(25)8-18-12-27-23-5-3-2-4-21(18)23/h2-7,9-13,19,27H,8,14,25H2,1H3,(H,28,29)/t19-/m0/s1","YWTBGJGMTBHQTM-IBGZPJMESA-N","10172943","CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CNC5=CC=CC=C54)N","SHN-414, A443654, DNC006711, CHEMBL379300, MLS002232275, SureCN570604, DB08073, A 443654"
"6","A-769662","C20H12N2O3S","360.39","AMPK Activator","Cool B. (2006) Cell Metabolism 3 403-416","","","US7119205","Tocris","844499-71-4","InChI=1S/C20H12N2O3S/c21-9-14-18(24)17-15(10-26-20(17)22-19(14)25)12-7-5-11(6-8-12)13-3-1-2-4-16(13)23/h1-8,10,23H,(H2,22,24,25)","CTESJDQKVOEUOY-UHFFFAOYSA-N","54708532","C1=CC=C(C(=C1)C2=CC=C(C=C2)C3=CSC4=C3C(=C(C(=O)N4)C#N)O)O","SHN-540, A769662, SureCN2669403, CHEMBL512504, CHEBI:546780, cc-24, A 769662"
"162","A-83-01","C25H19N5S","421.52","ALK5","Tojo (2005)  Cancer.Sci. 96 791","","","","Tocris","909910-43-6","InChI=1S/C25H19N5S/c1-17-8-7-13-23(27-17)24-21(19-14-15-26-22-12-6-5-11-20(19)22)16-30(29-24)25(31)28-18-9-3-2-4-10-18/h2-16H,1H3,(H,28,31)","HIJMSZGHKQPPJS-UHFFFAOYSA-N","16218924","CC1=CC=CC(=N1)C2=NN(C=C2C3=CC=NC4=CC=CC=C34)C(=S)NC5=CC=CC=C5","A8301, A 8301, Transforming Growth Factor-beta Type , Receptor Kinase Inhibitor IV"
"377","ADP-D-b-D-Hep","C17H33N7O16P2","653.43","activator ALPK1","","","","","Alpha-kinase 1 is a cytosolic innate immune receptor for bacterial ADP-heptose.","","","","","","SHN-2859"
"378","ADP-L-b-D-Hep","C17H33N7O16P2","653.43","activator ALPK1","","","","","Alpha-kinase 1 is a cytosolic innate immune receptor for bacterial ADP-heptose.","","","","","","SHN-2894"
"144","AG1296 (Tyrphostin)","C16H14N2O2","266.29","PDGF","Kovalenko M. (1994) Cancer Res. 54 6106","","","","Merck (Calbiochem)","146535-11-7","InChI=1S/C16H14N2O2/c1-19-15-8-12-13(9-16(15)20-2)18-14(10-17-12)11-6-4-3-5-7-11/h3-10H,1-2H3","QNOXYUNHIGOWNY-UHFFFAOYSA-N","2049","COC1=C(C=C2C(=C1)N=CC(=N2)C3=CC=CC=C3)OC","AG 1296, AG-1296, Tyrphostin AG 1296"
